competitor_id,name,country,country_code,abbreviation
sr:competitor:38181,"Molteni, Andres",Argentina,ARG,MOL
sr:competitor:231188,"Frantzen, Constantin",Germany,DEU,FRA
sr:competitor:206889,"Galloway, Robert",USA,USA,GAL
sr:competitor:25189,"Krajicek, Austin",USA,USA,KRA
sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR
sr:competitor:16124,"Melo, Marcelo",Brazil,BRA,MEL
sr:competitor:152900,"Rikl, Patrik",Czechia,CZE,RIK
sr:competitor:14553,"Ram, Rajeev",USA,USA,RAM
sr:competitor:59324,"Pavlasek, Adam",Czechia,CZE,PAV
sr:competitor:62410,"Johnson, Luke",Great Britain,GBR,JOH
sr:competitor:15305,"Gonzalez, Santiago",Mexico,MEX,GON
sr:competitor:16151,"Venus, Michael",New Zealand,NZL,VEN
sr:competitor:15548,"Gonzalez, Maximo",Argentina,ARG,GON
sr:competitor:66864,"Arends, Sander",Netherlands,NLD,ARE
sr:competitor:80665,"Polmans, Marc",Australia,AUS,POL
sr:competitor:16042,"Haase, Robin",Netherlands,NLD,HAA
sr:competitor:17038,"Smith, John-Patrick",Australia,AUS,SMI
sr:competitor:234044,"Kirkov, Vasil",USA,USA,KIR
sr:competitor:234124,"Stevens, Bart",Netherlands,NLD,STE
sr:competitor:204781,"Nouza, Petr",Czechia,CZE,NOU
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER
sr:competitor:204495,"Vocel, Matej",Czechia,CZE,VOC
sr:competitor:299130,"Hijikata, Rinky",Australia,AUS,HIJ
sr:competitor:280601,"Oberleitner, Neil",Austria,AUT,OBE
sr:competitor:56629,"Peers, John",Australia,AUS,PEE
sr:competitor:1020797,"Trhac, Patrik",USA,USA,TRH
sr:competitor:256001,"Ho, Ray",Chinese Taipei,TPE,RAY
sr:competitor:16823,"Romboli, Fernando",Brazil,BRA,ROM
sr:competitor:287215,"Seggerman, Ryan",USA,USA,SEG
sr:competitor:52244,"Balaji, N. Sriram",India,IND,BAL
sr:competitor:108755,"Jebens, Hendrik",Germany,DEU,JEB
sr:competitor:81059,"Gille, Sander",Belgium,BEL,GIL
sr:competitor:39726,"Kubler, Jason",Australia,AUS,KUB
